user_id,date,region,tenure_days,subscription_tier,login_count,session_duration_minutes,api_calls,feature_usage_score,resource_consumption_mb,cpu_usage_percent,support_tickets_created,login_avg_7d,session_avg_7d,login_trend_7d,engagement_score,inactivity_days,usage_drop_pct,volatility_score,resource_efficiency
user_00001,2025-01-01,EU,884,Professional,4,59.9,55,0.699,440.3,46.5,0,4.0,59.9,0.0,117.74,0,0.0,0.0,0.1249
user_00001,2025-01-02,EU,885,Professional,7,64.1,73,0.674,530.6,53.8,0,5.5,62.0,0.0,142.94,0,0.0,0.0,0.1376
user_00001,2025-01-03,EU,886,Professional,5,55.9,58,0.728,446.0,39.5,0,5.33,59.97,0.0,119.28,0,0.0,0.0,0.13
user_00001,2025-01-04,EU,887,Professional,4,28.9,26,0.569,171.3,39.6,0,5.0,52.2,0.0,49.04,0,0.0,0.0,0.1518
user_00001,2025-01-05,EU,888,Professional,2,20.0,15,0.791,156.0,11.5,0,4.4,45.76,0.0,40.3,0,0.0,1.817,0.0962
user_00001,2025-01-06,EU,889,Professional,4,63.4,56,0.712,482.2,44.4,0,4.33,48.7,0.0,127.12,0,0.0,1.633,0.1161
user_00001,2025-01-07,EU,890,Professional,6,55.3,46,0.744,399.6,57.8,0,4.57,49.64,0.0,106.58,0,0.0,1.618,0.1151
user_00001,2025-01-08,EU,891,Professional,4,64.6,70,0.654,481.1,35.8,0,4.57,50.31,0.0,131.34,0,1.84,1.512,0.1455
user_00001,2025-01-09,EU,892,Professional,5,57.9,63,0.548,433.5,28.9,0,4.29,49.43,-2.0,118.68,0,6.6,1.424,0.1453
user_00001,2025-01-10,EU,893,Professional,4,60.4,53,0.68,418.5,43.8,0,4.14,50.07,-1.0,112.88,0,8.07,1.354,0.1266
user_00001,2025-01-11,EU,894,Professional,4,46.3,59,0.67,375.2,27.9,0,4.14,52.56,0.0,103.2,0,0.52,1.293,0.1572
user_00001,2025-01-12,EU,895,Professional,2,43.3,40,0.675,303.2,30.2,0,4.14,55.89,0.0,81.9,0,-7.12,1.422,0.1319
user_00001,2025-01-13,EU,896,Professional,4,66.4,61,0.594,497.4,42.0,0,4.14,56.31,0.0,132.26,0,-5.64,1.363,0.1226
user_00001,2025-01-14,EU,897,Professional,3,72.9,73,0.655,572.5,17.6,0,3.71,58.83,-3.0,151.88,0,-8.41,1.351,0.1275
user_00001,2025-01-15,EU,898,Professional,3,68.2,75,0.613,515.0,37.3,0,3.57,59.34,-1.0,140.04,0,-7.98,1.385,0.1456
user_00001,2025-01-16,EU,899,Professional,5,77.7,56,0.614,537.8,44.1,0,3.57,62.17,0.0,141.4,0,-11.0,1.141,0.1041
user_00001,2025-01-17,EU,900,Professional,3,67.2,54,0.741,469.6,30.1,0,3.43,63.14,-1.0,124.46,0,-12.12,1.122,0.115
user_00001,2025-01-18,EU,901,Professional,4,31.0,35,0.63,254.6,17.9,0,3.43,60.96,0.0,68.82,0,-6.37,1.122,0.1375
user_00001,2025-01-19,EU,902,Professional,2,50.5,45,0.656,420.3,21.6,1,3.43,61.99,0.0,108.26,0,-5.18,1.122,0.1071
user_00001,2025-01-20,EU,903,Professional,4,67.8,56,0.667,537.0,32.0,0,3.43,62.19,0.0,138.96,0,-5.24,1.122,0.1043
user_00001,2025-01-21,EU,904,Professional,7,60.5,43,0.67,418.8,51.6,0,4.0,60.41,4.0,110.86,0,-0.04,1.292,0.1027
user_00001,2025-01-22,EU,905,Professional,5,51.3,54,0.782,406.1,37.7,0,4.29,58.0,2.0,109.18,0,2.37,1.328,0.133
user_00001,2025-01-23,EU,906,Professional,3,64.7,53,0.773,467.2,47.8,0,4.0,56.14,-2.0,123.18,0,4.85,1.311,0.1134
user_00001,2025-01-24,EU,907,Professional,5,56.0,54,0.737,417.1,28.3,0,4.29,54.54,2.0,112.32,0,6.29,1.351,0.1295
user_00001,2025-01-25,EU,908,Professional,3,43.5,26,0.596,310.9,23.9,0,4.14,56.33,-1.0,79.58,0,3.6,1.369,0.0836
user_00001,2025-01-26,EU,909,Professional,3,38.5,25,0.72,277.2,45.6,0,4.29,54.61,1.0,71.54,0,7.53,1.292,0.0902
user_00001,2025-01-27,EU,910,Professional,4,70.0,67,0.745,516.8,37.5,0,4.29,54.93,0.0,138.66,0,7.94,1.292,0.1296
user_00001,2025-01-28,EU,911,Professional,6,59.9,54,0.699,440.9,55.6,0,4.14,54.84,-1.0,118.16,0,5.06,1.385,0.1225
user_00001,2025-01-29,EU,912,Professional,4,44.5,34,0.632,313.5,42.3,0,4.0,53.87,-1.0,83.0,0,4.94,1.351,0.1085
user_00001,2025-01-30,EU,913,Professional,4,71.0,55,0.627,528.3,39.5,0,4.14,54.77,1.0,137.56,0,2.81,1.328,0.1041
user_00001,2025-01-31,EU,914,Professional,5,53.7,50,0.655,368.9,28.6,0,4.14,54.44,0.0,101.02,0,2.8,1.311,0.1355
user_00001,2025-02-01,EU,915,Professional,2,42.9,46,0.555,292.3,15.5,0,4.0,54.36,-1.0,81.44,0,3.37,1.439,0.1574
user_00001,2025-02-02,EU,916,Professional,4,34.4,25,0.689,245.9,34.7,0,4.14,53.77,1.0,64.76,0,1.43,1.311,0.1017
user_00001,2025-02-03,EU,917,Professional,5,68.9,69,0.592,463.3,53.7,0,4.29,53.61,1.0,128.64,0,2.11,1.326,0.1489
user_00001,2025-02-04,EU,918,Professional,3,63.5,63,0.764,503.3,31.1,0,3.86,54.13,-3.0,133.16,0,1.55,1.109,0.1252
user_00001,2025-02-05,EU,919,Professional,4,54.3,66,0.76,477.9,28.9,0,3.86,55.53,0.0,127.44,0,-3.17,1.072,0.1381
user_00001,2025-02-06,EU,920,Professional,5,72.8,71,0.712,575.7,49.6,0,4.0,55.79,1.0,152.5,0,-3.15,1.072,0.1233
user_00001,2025-02-07,EU,921,Professional,4,52.0,61,0.755,461.0,37.6,0,3.86,55.54,-1.0,122.1,0,-5.23,1.038,0.1323
user_00001,2025-02-08,EU,922,Professional,3,34.5,35,0.666,227.7,24.9,0,4.0,54.34,1.0,63.84,0,-4.01,1.038,0.1537
user_00001,2025-02-09,EU,923,Professional,4,43.7,43,0.672,328.9,24.5,0,4.0,55.67,0.0,88.62,0,-5.95,0.997,0.1307
user_00001,2025-02-10,EU,924,Professional,3,65.9,60,0.574,490.8,42.7,0,3.71,55.24,-2.0,130.24,0,-6.74,1.038,0.1222
user_00001,2025-02-11,EU,925,Professional,4,55.5,42,0.686,409.0,46.9,0,3.86,54.1,1.0,106.7,0,-4.07,0.864,0.1027
user_00001,2025-02-12,EU,926,Professional,3,60.0,54,0.662,431.5,35.0,0,3.71,54.91,-1.0,115.4,0,-0.35,0.893,0.1251
user_00001,2025-02-13,EU,927,Professional,5,58.8,56,0.68,412.4,38.8,0,3.71,52.91,0.0,112.54,0,3.24,0.949,0.1358
user_00001,2025-02-14,EU,928,Professional,5,53.2,33,0.578,366.1,41.2,0,3.86,53.09,1.0,95.26,0,6.4,0.949,0.0901
user_00001,2025-02-15,EU,929,Professional,0,47.1,50,0.618,357.7,8.1,0,3.43,54.89,-3.0,95.96,1,3.1,1.326,0.1398
user_00001,2025-02-16,EU,930,Professional,4,58.3,50,0.764,431.7,51.5,0,3.43,56.97,0.0,114.2,0,2.9,1.326,0.1158
user_00001,2025-02-17,EU,931,Professional,5,87.6,84,0.632,695.7,48.4,0,3.71,60.07,2.0,183.36,0,-0.34,1.326,0.1207
user_00001,2025-02-18,EU,932,Professional,4,64.0,57,0.681,490.1,23.7,0,3.71,61.29,0.0,129.12,0,-3.32,1.311,0.1163
user_00001,2025-02-19,EU,933,Professional,3,61.0,54,0.626,479.2,22.6,0,3.71,61.43,0.0,125.14,0,-4.66,1.326,0.1127
user_00001,2025-02-20,EU,934,Professional,4,63.7,49,0.696,460.0,24.0,0,3.57,62.13,-1.0,120.64,0,-7.75,1.277,0.1065
user_00001,2025-02-21,EU,935,Professional,4,60.3,54,0.668,478.9,29.2,0,3.43,63.14,-1.0,125.24,0,-11.27,1.277,0.1128
user_00001,2025-02-22,EU,936,Professional,3,52.4,43,0.526,331.7,24.1,0,3.86,63.9,3.0,90.62,0,-8.79,1.277,0.1296
user_00001,2025-02-23,EU,937,Professional,3,39.7,45,0.613,291.5,30.7,0,3.71,61.24,-1.0,80.64,0,-5.2,1.284,0.1544
user_00001,2025-02-24,EU,938,Professional,4,58.9,66,0.614,531.0,35.9,0,3.57,57.14,-1.0,138.98,0,0.8,1.277,0.1243
user_00001,2025-02-25,EU,939,Professional,3,53.8,51,0.67,389.4,39.0,0,3.43,55.69,-1.0,104.84,0,3.66,1.284,0.131
user_00001,2025-02-26,EU,940,Professional,3,64.5,67,0.553,492.6,27.4,0,3.43,56.19,0.0,132.42,0,3.77,1.284,0.136
user_00001,2025-02-27,EU,941,Professional,4,75.7,65,0.672,552.4,43.3,0,3.43,57.9,0.0,146.32,0,2.65,1.225,0.1177
user_00001,2025-02-28,EU,942,Professional,5,74.3,69,0.686,525.9,46.6,0,3.57,59.9,1.0,142.24,0,3.33,1.225,0.1312
user_00001,2025-03-01,EU,943,Professional,3,49.6,48,0.712,387.1,27.0,0,3.57,59.5,0.0,102.64,0,2.32,0.726,0.124
user_00001,2025-03-02,EU,944,Professional,3,13.7,2,0.681,94.1,9.8,0,3.57,55.79,0.0,23.06,0,3.91,0.745,0.0213
user_00001,2025-03-03,EU,945,Professional,4,79.0,69,0.676,634.8,44.7,0,3.57,58.66,0.0,164.66,0,-0.36,0.646,0.1087
user_00001,2025-03-04,EU,946,Professional,4,50.3,44,0.621,401.2,35.4,0,3.71,58.16,1.0,104.7,0,-1.87,0.646,0.1097
user_00001,2025-03-05,EU,947,Professional,4,66.3,51,0.607,510.0,36.6,0,3.86,58.41,1.0,131.76,0,-1.37,0.633,0.1
user_00001,2025-03-06,EU,948,Professional,5,49.1,49,0.696,389.1,44.8,0,4.0,54.61,1.0,103.84,0,2.9,0.726,0.1259
user_00001,2025-03-07,EU,949,Professional,4,58.0,59,0.738,502.6,47.9,0,3.86,52.29,-1.0,131.02,0,4.66,0.726,0.1174
user_00001,2025-03-08,EU,950,Professional,4,44.3,42,0.706,334.3,27.5,0,4.0,51.53,1.0,89.52,0,6.23,0.699,0.1256
user_00001,2025-03-09,EU,951,Professional,3,46.0,47,0.646,379.1,31.8,0,4.0,56.14,0.0,100.02,0,-2.17,0.699,0.124
user_00001,2025-03-10,EU,952,Professional,4,48.2,36,0.609,345.9,32.3,0,4.0,51.74,0.0,90.82,0,4.11,0.699,0.1041
user_00001,2025-03-11,EU,953,Professional,5,63.7,62,0.688,423.5,41.2,0,4.14,53.66,1.0,117.54,0,3.26,0.73,0.1464
user_00001,2025-03-12,EU,954,Professional,4,69.3,71,0.664,522.3,44.7,0,4.14,54.09,0.0,140.82,0,2.63,0.679,0.1359
user_00001,2025-03-13,EU,955,Professional,5,56.9,59,0.693,414.1,49.9,0,4.14,55.2,0.0,113.4,0,-0.66,0.73,0.1425
user_00001,2025-03-14,EU,956,Professional,4,54.7,45,0.688,371.2,39.9,0,4.14,54.73,0.0,99.88,0,0.64,0.679,0.1212
user_00001,2025-03-15,EU,957,Professional,3,62.9,44,0.738,447.2,37.2,0,4.0,57.39,-1.0,116.12,0,-1.97,0.679,0.0984
user_00001,2025-03-16,EU,958,Professional,3,55.0,45,0.722,382.2,31.0,0,4.0,58.67,0.0,101.84,0,2.81,0.679,0.1177
user_00001,2025-03-17,EU,959,Professional,6,61.7,57,0.614,457.9,35.8,0,4.29,60.6,2.0,122.82,0,-3.88,0.864,0.1245
user_00001,2025-03-18,EU,960,Professional,6,84.4,72,0.737,629.9,54.1,0,4.43,63.56,1.0,166.26,0,-5.94,0.994,0.1143
user_00001,2025-03-19,EU,961,Professional,4,58.4,42,0.585,433.2,35.3,0,4.43,62.0,0.0,112.12,0,-3.66,0.994,0.097
user_00001,2025-03-20,EU,962,Professional,5,63.1,53,0.723,511.0,47.9,0,4.43,62.89,0.0,132.22,0,-4.17,0.994,0.1037
user_00001,2025-03-21,EU,963,Professional,5,66.3,65,0.685,474.7,50.5,0,4.57,64.54,1.0,129.2,0,-7.88,1.008,0.1369
user_00001,2025-03-22,EU,964,Professional,4,50.0,58,0.65,368.0,33.1,0,4.71,62.7,1.0,102.2,0,-5.35,1.008,0.1576
user_00001,2025-03-23,EU,965,Professional,4,40.7,41,0.619,327.6,32.2,0,4.86,60.66,1.0,87.16,0,-4.38,0.938,0.1252
user_00001,2025-03-24,EU,966,Professional,4,60.4,68,0.668,474.5,21.3,0,4.57,60.47,-2.0,128.58,0,-2.71,0.938,0.1433
user_00001,2025-03-25,EU,967,Professional,4,73.7,64,0.737,548.0,42.4,0,4.29,58.94,-2.0,144.74,0,1.47,0.929,0.1168
user_00001,2025-03-26,EU,968,Professional,6,44.4,29,0.649,308.4,48.8,0,4.57,56.94,2.0,81.06,0,1.67,1.019,0.094
user_00001,2025-03-27,EU,969,Professional,5,70.8,66,0.72,542.8,41.7,0,4.57,58.04,0.0,144.02,0,2.06,1.019,0.1216
user_00001,2025-03-28,EU,970,Professional,4,74.2,46,0.6,473.7,39.4,0,4.43,59.17,-1.0,124.58,0,4.03,1.019,0.0971
user_00001,2025-03-29,EU,971,Professional,2,37.0,52,0.764,305.5,18.2,0,4.14,57.31,-2.0,84.7,0,4.32,1.158,0.1702
user_00001,2025-03-30,EU,972,Professional,3,35.9,33,0.593,247.2,27.0,0,4.0,56.63,-1.0,67.42,0,4.73,1.158,0.1335
user_00001,2025-03-31,EU,973,Professional,3,69.6,54,0.705,501.3,24.9,0,3.86,57.94,-1.0,131.28,0,4.89,1.122,0.1077
user_00002,2025-01-01,US,744,Basic,5,49.9,60,0.719,398.8,46.0,0,5.0,49.9,0.0,109.24,0,0.0,0.0,0.1505
user_00002,2025-01-02,US,745,Basic,3,43.7,51,0.617,312.9,24.2,0,4.0,46.8,0.0,87.52,0,0.0,0.0,0.163
user_00002,2025-01-03,US,746,Basic,3,45.3,35,0.621,394.6,31.0,0,3.67,46.3,0.0,99.38,0,0.0,0.0,0.0887
user_00002,2025-01-04,US,747,Basic,3,29.6,7,0.592,123.9,5.9,0,3.5,42.12,0.0,33.7,0,0.0,0.0,0.0565
user_00002,2025-01-05,US,748,Basic,3,45.9,45,0.705,324.4,33.0,0,3.4,42.88,0.0,88.46,0,0.0,0.894,0.1387
user_00002,2025-01-06,US,749,Basic,5,55.8,48,0.615,377.0,42.4,0,3.67,45.03,0.0,102.46,0,0.0,1.033,0.1273
user_00002,2025-01-07,US,750,Basic,4,55.9,56,0.75,469.0,28.8,0,3.71,46.59,0.0,122.98,0,0.0,0.951,0.1194
user_00002,2025-01-08,US,751,Basic,5,51.8,46,0.581,381.0,28.1,0,3.71,46.86,0.0,101.86,0,2.46,0.991,0.1207
